nombre_tabla,mes,anio,ext,url_csv
velocidad_media_vehicular,mayo,2023,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/2b8af318-2e0e-4cf7-8593-c85332dbc238/download/autoscope_05_2023_velocidad.csv
ubicacion_sensores,enero,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/140594ab-b0ff-4628-a30b-1a7472254aba/download/infosensoresmedicionconteo012021.csv
ubicacion_sensores,febrero,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/e6e4f575-447d-4311-8a55-f0e9077c07ee/download/infosensoresmedicionconteo022021.csv
ubicacion_sensores,marzo,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/3a031b91-330e-4700-a2d7-7046d0276e47/download/infosensoresmedicionconteo032021.csv
ubicacion_sensores,abril,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/916c1030-56b6-46a8-a50c-cead046a5731/download/infosensoresmedicionconteo042021.csv
ubicacion_sensores,mayo,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/c7503da1-c937-4489-9b7d-5a881cfef356/download/infosensoresmedicionconteo052021.csv
ubicacion_sensores,junio,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/e454e2e8-9b83-471d-88fb-42730390b0b9/download/infosensoresmedicionconteo062021.csv
ubicacion_sensores,julio,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/639bff79-e71b-4718-b9a1-f0a5c2060e1c/download/infosensoresmedicionconteo072021.csv
ubicacion_sensores,agosto,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/ea3f0943-669d-49d1-ab4f-4a6319b0b322/download/infosensoresmedicionconteo082021.csv
ubicacion_sensores,septiembre,2021,csv,https://catalogodatos.gub.uy/dataset/d786b5ec-e651-4cb2-8235-71c4445b3761/resource/dd99f655-d4d2-4883-a9d5-b57cba3b3da3/download/infosensoresmedicionconteo092021.csv
